lsoa_code,IMDScore
E01000816,14.081
E01000818,13.454
E01000819,26.536
E01000820,21.127
E01000822,13.278
E01000823,11.568
E01000824,15.415
E01000406,23.276
E01000001,6.208
E01000825,17
E01000826,4.317
E01000827,5.195
E01000828,10.099
E01000829,6.085
E01000830,3.748
E01000831,8.153
E01000832,5.996
E01000833,2.759
E01000834,4.859
E01000835,7.308
E01000836,5.562
E01000837,10.214
E01000838,5.005
E01000839,4.317
E01000840,10.385
E01000841,4.549
E01000842,8.523
E01000843,13.567
E01000844,9.797
E01000845,11.305
E01000846,22.13
E01000847,17.13
E01000848,6.035
E01000849,7.694
E01000850,14.252
E01000851,14.959
E01000852,14.633
E01000853,30.826
E01000854,15.832
E01000855,14.66
E01000856,31.404
E01000857,14.85
E01000858,37.66
E01000859,7.224
E01000860,17.703
E01000861,33.498
E01000862,10.864
E01000863,34.37
E01000864,17.932
E01000865,13.236
E01000866,22.434
E01000867,28.4
E01000868,39.291
E01000869,22.144
E01000870,26.832
E01000871,14.237
E01000872,24.312
E01000873,8.615
E01000874,4.907
E01000875,21.838
E01000876,29.94
E01000877,11.158
E01000878,5.647
E01000879,5.877
E01000880,6.105
E01000881,13.429
E01000882,4.319
E01000883,9.536
E01000884,5.273
E01000885,7.027
E01000886,9.126
E01000887,13.063
E01000888,14.584
E01000889,30.868
E01000890,40.883
E01000891,38.283
E01000892,15.799
E01000893,5.314
E01000894,6.601
E01000895,8.367
E01000896,5.734
E01000897,5.398
E01000898,11.81
E01000899,5.971
E01000900,26.042
E01000901,30.351
E01000902,36.241
E01000903,18.925
E01000904,24.584
E01000905,38.075
E01000906,10.421
E01000907,33.796
E01000908,27.211
E01000909,11.771
E01000910,9.73
E01000911,16.959
E01000912,22.316
E01000913,9.279
E01000914,13.106
E01000915,23.058
E01000916,19.491
E01000917,34.957
E01000918,20.684
E01000919,21.741
E01000920,15.017
E01000921,15.197
E01000922,21.717
E01000923,19.37
E01000924,13.294
E01000925,29.369
E01000926,17.412
E01000927,14.937
E01000928,20.295
E01000929,25.374
E01000930,30.755
E01000931,34.552
E01000932,20.043
E01000933,25.739
E01000934,35.446
E01000935,32.327
E01000936,21.454
E01000937,14.324
E01000938,33.666
E01000939,39.074
E01000940,19.688
E01000941,38.035
E01000942,15.339
E01000943,19.812
E01000944,22.702
E01000945,29.491
E01000946,14.777
E01000947,24.682
E01000948,28.939
